Spot,Sample,Day,Location,LocationNum,%AS,Flow (m*s-1)
9,1,1,Brighton,2,63.79,0.01
9,2,1,Brighton,2,87.97,0.01
9,3,1,Brighton,2,94.35,0.32
9,4,1,Brighton,2,79.58,
9,5,1,Brighton,2,97.80,
9,6,1,Brighton,2,83.64,
10,1,1,Brighton,2,59.10,0.03
10,2,1,Brighton,2,90.78,0.00
10,3,1,Brighton,2,90.31,0.49
10,4,1,Brighton,2,94.47,
10,5,1,Brighton,2,82.29,
10,6,1,Brighton,2,95.19,
11,1,1,Brighton,2,97.44,0.00
11,2,1,Brighton,2,94.62,0.01
11,3,1,Brighton,2,95.31,0.01
11,4,1,Brighton,2,84.68,
11,5,1,Brighton,2,97.40,
11,6,1,Brighton,2,67.70,
12,1,1,Brighton,2,52.77,0.01
12,2,1,Brighton,2,25.62,0.01
12,3,1,Brighton,2,74.87,0.01
12,4,1,Brighton,2,64.89,
12,5,1,Brighton,2,83.07,
12,6,1,Brighton,2,71.25,
1,1,2,Brighton,2,99.79,0.00
1,2,2,Brighton,2,94.80,0.01
1,3,2,Brighton,2,96.22,0.00
1,4,2,Brighton,2,100.87,
1,5,2,Brighton,2,93.63,
1,6,2,Brighton,2,93.56,
2,1,2,Brighton,2,94.79,0.00
2,2,2,Brighton,2,92.30,0.00
2,3,2,Brighton,2,95.54,0.01
2,4,2,Brighton,2,94.32,
2,5,2,Brighton,2,92.87,
2,6,2,Brighton,2,99.90,
3,1,2,Brighton,2,94.97,0.01
3,2,2,Brighton,2,111.66,0.01
3,3,2,Brighton,2,93.45,0.01
3,4,2,Brighton,2,96.84,
3,5,2,Brighton,2,103.07,
3,6,2,Brighton,2,99.95,
4,1,2,Brighton,2,95.32,0.01
4,2,2,Brighton,2,95.42,0.00
4,3,2,Brighton,2,95.29,0.01
4,4,2,Brighton,2,94.32,
4,5,2,Brighton,2,92.74,
4,6,2,Brighton,2,99.90,
5,1,2,Brighton,2,100.85,0.01
5,2,2,Brighton,2,95.71,0.01
5,3,2,Brighton,2,98.68,0.01
5,4,2,Brighton,2,30.24,
5,5,2,Brighton,2,94.91,
5,6,2,Brighton,2,100.67,
6,1,2,Brighton,2,98.18,0.02
6,2,2,Brighton,2,70.81,0.02
6,3,2,Brighton,2,93.27,0.01
6,4,2,Brighton,2,94.11,
6,5,2,Brighton,2,92.78,
6,6,2,Brighton,2,99.65,
7,1,2,Brighton,2,3.59,0.02
7,2,2,Brighton,2,54.83,0.02
7,3,2,Brighton,2,96.37,0.01
7,4,2,Brighton,2,47.05,
7,5,2,Brighton,2,91.83,
7,6,2,Brighton,2,96.97,
8,1,2,Brighton,2,11.89,0.00
8,2,2,Brighton,2,90.36,0.00
8,3,2,Brighton,2,88.58,0.01
8,4,2,Brighton,2,19.29,
8,5,2,Brighton,2,74.40,
8,6,2,Brighton,2,76.13,
9,1,2,Brighton,2,97.53,0.01
9,2,2,Brighton,2,72.42,0.03
9,3,2,Brighton,2,89.71,0.03
9,4,2,Brighton,2,49.63,
9,5,2,Brighton,2,68.56,
9,6,2,Brighton,2,63.63,
10,1,2,Brighton,2,49.06,0.00
10,2,2,Brighton,2,92.89,0.01
10,3,2,Brighton,2,99.35,0.02
10,4,2,Brighton,2,98.13,
10,5,2,Brighton,2,44.82,
10,6,2,Brighton,2,74.61,
11,1,2,Brighton,2,11.74,0.00
11,2,2,Brighton,2,8.15,0.01
11,3,2,Brighton,2,95.41,0.02
11,4,2,Brighton,2,91.43,
11,5,2,Brighton,2,39.15,
11,6,2,Brighton,2,14.61,
12,1,2,Brighton,2,73.87,0.01
12,2,2,Brighton,2,87.25,0.01
12,3,2,Brighton,2,86.34,0.01
12,4,2,Brighton,2,77.30,
12,5,2,Brighton,2,96.35,
12,6,2,Brighton,2,88.80,
1,1,3,Brighton,2,85.37,0.01
1,2,3,Brighton,2,80.72,0.01
1,3,3,Brighton,2,91.19,0.01
1,4,3,Brighton,2,85.74,
1,5,3,Brighton,2,86.48,
1,6,3,Brighton,2,60.70,
2,1,3,Brighton,2,100.42,0.01
2,2,3,Brighton,2,79.47,0.01
2,3,3,Brighton,2,100.39,0.00
2,4,3,Brighton,2,92.69,
2,5,3,Brighton,2,98.53,
2,6,3,Brighton,2,93.91,
3,1,3,Brighton,2,88.03,0.00
3,2,3,Brighton,2,88.36,0.00
3,3,3,Brighton,2,86.41,0.01
3,4,3,Brighton,2,86.55,
3,5,3,Brighton,2,62.50,
3,6,3,Brighton,2,44.24,
4,1,3,Brighton,2,49.80,0.02
4,2,3,Brighton,2,38.38,0.02
4,3,3,Brighton,2,88.96,0.04
4,4,3,Brighton,2,73.33,
